"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
1209015;"Dobczyce - obszar wiejski (5)";168;
1209022;"Lubień (2)";134;
1209033;"Myślenice (3)";291;
1209034;"Myślenice - miasto (4)";604;
1209035;"Myślenice - obszar wiejski (5)";214;
1209042;"Pcim (2)";125;
1209052;"Raciechowice (2)";106;
1209062;"Siepraw (2)";288;
1209073;"Sułkowice (3)";251;
1209074;"Sułkowice - miasto (4)";403;
1209075;"Sułkowice - obszar wiejski (5)";194;
1209082;"Tokarnia (2)";128;
1209092;"Wiśniowa (2)";110;
1210000;"Powiat nowosądecki";140;
1210011;"Grybów (1)";350;
1210022;"Chełmiec (2)";260;
1210032;"Gródek nad Dunajcem (2)";104;
1210042;"Grybów (2)";168;
1210052;"Kamionka Wielka (2)";162;
1210062;"Korzenna (2)";136;
1210073;"Krynica-Zdrój (3)";113;
1210074;"Krynica-Zdrój - miasto (4)";259;
1210075;"Krynica-Zdrój - obszar wiejski (5)";58;
1210082;"Łabowa (2)";51;
1210092;"Łącko (2)";125;
1210102;"Łososina Dolna (2)";132;
1210113;"Muszyna (3)";81;
1210114;"Muszyna - miasto (4)";191;
1210115;"Muszyna - obszar wiejski (5)";58;
1210122;"Nawojowa (2)";175;
1210133;"Piwniczna-Zdrój (3)";83;
1210134;"Piwniczna-Zdrój - miasto (4)";151;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";54;
1210142;"Podegrodzie (2)";208;
1210152;"Rytro (2)";89;
1210163;"Stary Sącz (3)";236;
1210164;"Stary Sącz - miasto (4)";598;
1210165;"Stary Sącz - obszar wiejski (5)";173;
1211000;"Powiat nowotarski";130;
1211011;"Nowy Targ (1)";648;
1211023;"Szczawnica (3)";80;
1211024;"Szczawnica - miasto (4)";169;
1211025;"Szczawnica - obszar wiejski (5)";27;
1211032;"Czarny Dunajec (2)";104;
1211042;"Czorsztyn (2)";123;
1211052;"Jabłonka (2)";88;
1211062;"Krościenko nad Dunajcem (2)";118;
1211072;"Lipnica Wielka (2)";88;
1211082;"Łapsze Niżne (2)";74;
1211092;"Nowy Targ (2)";116;
1211102;"Ochotnica Dolna (2)";60;
1211112;"Raba Wyżna (2)";165;
1211123;"Rabka-Zdrój (3)";245;
1211124;"Rabka-Zdrój - miasto (4)";347;
1211125;"Rabka-Zdrój - obszar wiejski (5)";132;
1211132;"Spytkowice (2)";145;
1211142;"Szaflary (2)";206;
1212000;"Powiat olkuski";177;
1212011;"Bukowno (1)";153;
1212032;"Bolesław (2)";189;
1212042;"Klucze (2)";123;
1212053;"Olkusz (3)";316;
1212054;"Olkusz - miasto (4)";1336;
1212055;"Olkusz - obszar wiejski (5)";107;
1212062;"Trzyciąż (2)";73;
1212073;"Wolbrom (3)";153;
1212074;"Wolbrom - miasto (4)";825;
1212075;"Wolbrom - obszar wiejski (5)";103;
1213000;"Powiat oświęcimski";374;
1213011;"Oświęcim (1)";1234;
1213023;"Brzeszcze (3)";459;
1213024;"Brzeszcze - miasto (4)";574;
1213025;"Brzeszcze - obszar wiejski (5)";376;
1213033;"Chełmek (3)";465;
1213034;"Chełmek - miasto (4)";1065;
1213035;"Chełmek - obszar wiejski (5)";205;
1213043;"Kęty (3)";445;
1213044;"Kęty - miasto (4)";794;
1213045;"Kęty - obszar wiejski (5)";293;
1213052;"Osiek (2)";202;
1213062;"Oświęcim (2)";249;
1213072;"Polanka Wielka (2)";180;
1213082;"Przeciszów (2)";188;
1213093;"Zator (3)";178;
1213094;"Zator - miasto (4)";311;
1213095;"Zator - obszar wiejski (5)";140;
1214000;"Powiat proszowicki";103;
1214012;"Koniusza (2)";102;
1214023;"Koszyce (3)";81;
1214024;"Koszyce - miasto (4)";234;
1214025;"Koszyce - obszar wiejski (5)";73;
1214033;"Nowe Brzesko (3)";104;
1214034;"Nowe Brzesko - miasto (4)";228;
1214035;"Nowe Brzesko - obszar wiejski (5)";85;
1214042;"Pałecznica (2)";74;
1214053;"Proszowice (3)";160;
1214054;"Proszowice - miasto (4)";805;
1214055;"Proszowice - obszar wiejski (5)";109;
1214062;"Radziemice (2)";57;
1215000;"Powiat suski";122;
1215011;"Jordanów (1)";249;
1215021;"Sucha Beskidzka (1)";324;
1215032;"Budzów (2)";121;
1215042;"Bystra-Sidzina (2)";86;
1215052;"Jordanów (2)";122;
1215063;"Maków Podhalański (3)";146;
1215064;"Maków Podhalański - miasto (4)";285;
1215065;"Maków Podhalański - obszar wiejski (5)";114;
1215072;"Stryszawa (2)";104;
1215082;"Zawoja (2)";70;
1215092;"Zembrzyce (2)";142;
1216000;"Powiat tarnowski";142;
1216013;"Ciężkowice (3)";108;
1216014;"Ciężkowice - miasto (4)";245;
1216015;"Ciężkowice - obszar wiejski (5)";93;
1216022;"Gromnik (2)";128;
1216032;"Lisia Góra (2)";148;
1216042;"Pleśna (2)";143;
1216053;"Radłów (3)";111;
1216054;"Radłów - miasto (4)";163;
1216055;"Radłów - obszar wiejski (5)";98;
1216063;"Ryglice (3)";99;
1216064;"Ryglice - miasto (4)";112;
1216065;"Ryglice - obszar wiejski (5)";95;
1216072;"Rzepiennik Strzyżewski (2)";95;
1216082;"Skrzyszów (2)";167;
1216092;"Tarnów (2)";319;
1216103;"Tuchów (3)";176;
1216104;"Tuchów - miasto (4)";356;
1216105;"Tuchów - obszar wiejski (5)";137;
1216112;"Wierzchosławice (2)";143;
1216122;"Wietrzychowice (2)";81;
1216133;"Wojnicz (3)";167;
1216134;"Wojnicz - miasto (4)";387;
1216135;"Wojnicz - obszar wiejski (5)";141;
1216143;"Zakliczyn (3)";103;
1216144;"Zakliczyn - miasto (4)";401;
1216145;"Zakliczyn - obszar wiejski (5)";93;
1216153;"Żabno (3)";185;
1216154;"Żabno - miasto (4)";373;
1216155;"Żabno - obszar wiejski (5)";162;
1216162;"Szerzyny (2)";95;
1217000;"Powiat tatrzański";144;
1217011;"Zakopane (1)";315;
1217022;"Biały Dunajec (2)";201;
1217032;"Bukowina Tatrzańska (2)";102;
1217042;"Kościelisko (2)";65;
1217052;"Poronin (2)";140;
1218000;"Powiat wadowicki";246;
1218013;"Andrychów (3)";429;
1218014;"Andrychów - miasto (4)";1890;
1218015;"Andrychów - obszar wiejski (5)";261;
1218022;"Brzeźnica (2)";159;
1218033;"Kalwaria Zebrzydowska (3)";265;
1218034;"Kalwaria Zebrzydowska - miasto (4)";804;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";223;
1218042;"Lanckorona (2)";154;
1218052;"Mucharz (2)";111;
1218062;"Spytkowice (2)";199;
1218072;"Stryszów (2)";149;
1218082;"Tomice (2)";198;
1218093;"Wadowice (3)";331;
1218094;"Wadowice - miasto (4)";1715;
1218095;"Wadowice - obszar wiejski (5)";188;
1218102;"Wieprz (2)";169;
1219000;"Powiat wielicki";322;
1219012;"Biskupice (2)";259;
1219022;"Gdów (2)";169;
1219032;"Kłaj (2)";168;
1219043;"Niepołomice (3)";314;
1219044;"Niepołomice - miasto (4)";530;
1219045;"Niepołomice - obszar wiejski (5)";228;
1219053;"Wieliczka (3)";624;
1219054;"Wieliczka - miasto (4)";1834;
1219055;"Wieliczka - obszar wiejski (5)";436;
1261000;"Powiat m.Kraków";2393;
1261011;"Kraków (1)";2393;
1262000;"Powiat m.Nowy Sącz";1443;
1262011;"Nowy Sącz (1)";1443;
1263000;"Powiat m.Tarnów";1463;
1263011;"Tarnów (1)";1463;
1400000;"MAZOWIECKIE";152;
1401000;"Powiat białobrzeski";52;
1401013;"Białobrzegi (3)";130;
1401014;"Białobrzegi - miasto (4)";899;
1401015;"Białobrzegi - obszar wiejski (5)";48;
1401022;"Promna (2)";46;
1401032;"Radzanów (2)";47;
1401042;"Stara Błotnica (2)";56;
1401052;"Stromiec (2)";35;
1401063;"Wyśmierzyce (3)";26;
1401064;"Wyśmierzyce - miasto (4)";53;
1401065;"Wyśmierzyce - obszar wiejski (5)";21;
1402000;"Powiat ciechanowski";83;
1402011;"Ciechanów (1)";1327;
1402022;"Ciechanów (2)";51;
1402033;"Glinojeck (3)";50;
1402034;"Glinojeck - miasto (4)";400;
1402035;"Glinojeck - obszar wiejski (5)";32;
1402042;"Gołymin-Ośrodek (2)";33;
1402052;"Grudusk (2)";36;
1402062;"Ojrzeń (2)";35;
1402072;"Opinogóra Górna (2)";43;
1402082;"Regimin (2)";44;
1402092;"Sońsk (2)";49;
1403000;"Powiat garwoliński";84;
1403011;"Garwolin (1)";796;
1403021;"Łaskarzew (1)";310;
1403032;"Borowie (2)";65;
1403042;"Garwolin (2)";99;
1403052;"Górzno (2)";72;
1403062;"Łaskarzew (2)";62;
1403072;"Maciejowice (2)";39;
1403082;"Miastków Kościelny (2)";56;
1403092;"Parysów (2)";64;
1403103;"Pilawa (3)";141;
1403104;"Pilawa - miasto (4)";685;
1403105;"Pilawa - obszar wiejski (5)";89;
1403112;"Sobolew (2)";86;
1403122;"Trojanów (2)";47;
1403132;"Wilga (2)";44;
1403143;"Żelechów (3)";93;
1403144;"Żelechów - miasto (4)";322;
1403145;"Żelechów - obszar wiejski (5)";56;
1404000;"Powiat gostyniński";72;
1404011;"Gostynin (1)";561;
1404022;"Gostynin (2)";44;
1404032;"Pacyna (2)";38;
1404043;"Sanniki (3)";62;
1404044;"Sanniki - miasto (4)";159;
1404045;"Sanniki - obszar wiejski (5)";48;
1404052;"Szczawin Kościelny (2)";38;
1405000;"Powiat grodziski";269;
1405011;"Milanówek (1)";1228;
1405021;"Podkowa Leśna (1)";374;
1405032;"Baranów (2)";71;
1405043;"Grodzisk Mazowiecki (3)";474;
1405044;"Grodzisk Mazowiecki - miasto (4)";2488;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";192;
1405052;"Jaktorów (2)";232;
1405062;"Żabia Wola (2)";90;
1406000;"Powiat grójecki";77;
1406012;"Belsk Duży (2)";59;
1406022;"Błędów (2)";54;
1406032;"Chynów (2)";73;
1406042;"Goszczyn (2)";51;
1406053;"Grójec (3)";213;
1406054;"Grójec - miasto (4)";1943;
1406055;"Grójec - obszar wiejski (5)";81;
1406062;"Jasieniec (2)";49;
1406073;"Mogielnica (3)";60;
1406074;"Mogielnica - miasto (4)";166;
1406075;"Mogielnica - obszar wiejski (5)";49;
1406083;"Nowe Miasto nad Pilicą (3)";47;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";322;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";26;
1406092;"Pniewy (2)";47;
1406113;"Warka (3)";95;
1406114;"Warka - miasto (4)";445;
1406115;"Warka - obszar wiejski (5)";41;
1407000;"Powiat kozienicki";65;
1407012;"Garbatka-Letnisko (2)";68;
1407022;"Głowaczów (2)";38;
1407032;"Gniewoszów (2)";45;
1407042;"Grabów nad Pilicą (2)";31;
1407053;"Kozienice (3)";119;
1407054;"Kozienice - miasto (4)";1591;
1407055;"Kozienice - obszar wiejski (5)";53;
1407062;"Magnuszew (2)";47;
1407072;"Sieciechów (2)";62;
1408000;"Powiat legionowski";311;
1408011;"Legionowo (1)";3929;
1408022;"Jabłonna (2)";317;
1408032;"Nieporęt (2)";157;
1408043;"Serock (3)";143;
1408044;"Serock - miasto (4)";354;
1408045;"Serock - obszar wiejski (5)";114;
1408052;"Wieliszew (2)";159;
1409000;"Powiat lipski";45;
1409012;"Chotcza (2)";26;
1409022;"Ciepielów (2)";41;
1409033;"Lipsko (3)";79;
1409034;"Lipsko - miasto (4)";335;
1409035;"Lipsko - obszar wiejski (5)";45;
1409042;"Rzeczniów (2)";41;
1409052;"Sienno (2)";39;
1409063;"Solec nad Wisłą (3)";36;
1409064;"Solec nad Wisłą - miasto (4)";50;
1409065;"Solec nad Wisłą - obszar wiejski (5)";34;
1410000;"Powiat łosicki";39;
1410012;"Huszlew (2)";23;
1410023;"Łosice (3)";88;
1410024;"Łosice - miasto (4)";293;
1410025;"Łosice - obszar wiejski (5)";38;
1410032;"Olszanka (2)";33;
1410042;"Platerów (2)";37;
1410052;"Sarnaki (2)";23;
1410062;"Stara Kornica (2)";39;
1411000;"Powiat makowski";41;
1411011;"Maków Mazowiecki (1)";923;
1411022;"Czerwonka (2)";24;
1411032;"Karniewo (2)";39;
1411042;"Krasnosielc (2)";37;
1411052;"Młynarze (2)";23;
1411062;"Płoniawy-Bramura (2)";38;
1411073;"Różan (3)";52;
1411074;"Różan - miasto (4)";402;
1411075;"Różan - obszar wiejski (5)";22;
1411082;"Rzewnie (2)";23;
1411092;"Sypniewo (2)";25;
1411102;"Szelków (2)";32;
1412000;"Powiat miński";133;
1412011;"Mińsk Mazowiecki (1)";3092;
1412042;"Cegłów (2)";64;
1412052;"Dębe Wielkie (2)";140;
1412062;"Dobre (2)";48;
1412073;"Halinów (3)";264;
1412074;"Halinów - miasto (4)";1313;
1412075;"Halinów - obszar wiejski (5)";214;
1412082;"Jakubów (2)";59;
1412093;"Kałuszyn (3)";60;
1412094;"Kałuszyn - miasto (4)";230;
1412095;"Kałuszyn - obszar wiejski (5)";35;
1412102;"Latowicz (2)";47;
1412112;"Mińsk Mazowiecki (2)";141;
1412123;"Mrozy (3)";60;
1412124;"Mrozy - miasto (4)";461;
1412125;"Mrozy - obszar wiejski (5)";37;
1412132;"Siennica (2)";67;
1412142;"Stanisławów (2)";64;
1412151;"Sulejówek (1)";1032;
1413000;"Powiat mławski";61;
1413011;"Mława (1)";892;
1413022;"Dzierzgowo (2)";20;
1413032;"Lipowiec Kościelny (2)";41;
1413042;"Radzanów (2)";33;
1413052;"Strzegowo (2)";34;
1413062;"Stupsk (2)";41;
1413072;"Szreńsk (2)";36;
1413082;"Szydłowo (2)";37;
1413092;"Wieczfnia Kościelna (2)";33;
1413102;"Wiśniewo (2)";52;
1414000;"Powiat nowodworski";114;
1414011;"Nowy Dwór Mazowiecki (1)";1013;
1414022;"Czosnów (2)";78;
1414032;"Leoncin (2)";35;
1414043;"Nasielsk (3)";96;
1414044;"Nasielsk - miasto (4)";603;
1414045;"Nasielsk - obszar wiejski (5)";63;
1414052;"Pomiechówek (2)";88;
1414063;"Zakroczym (3)";83;
1414064;"Zakroczym - miasto (4)";156;
1414065;"Zakroczym - obszar wiejski (5)";54;
1415000;"Powiat ostrołęcki";42;
1415012;"Baranowo (2)";32;
1415022;"Czarnia (2)";26;
1415032;"Czerwin (2)";29;
1415042;"Goworowo (2)";37;
1415052;"Kadzidło (2)";44;
1415062;"Lelis (2)";50;
1415072;"Łyse (2)";34;
1415083;"Myszyniec (3)";46;
1415084;"Myszyniec - miasto (4)";301;
1415085;"Myszyniec - obszar wiejski (5)";32;
1415092;"Olszewo-Borki (2)";55;
1415102;"Rzekuń (2)";85;
1415112;"Troszyn (2)";30;
1416000;"Powiat ostrowski";58;
1416011;"Ostrów Mazowiecka (1)";989;
1416022;"Andrzejewo (2)";33;
1416032;"Boguty-Pianki (2)";28;
1416043;"Brok (3)";25;
1416044;"Brok - miasto (4)";67;
1416045;"Brok - obszar wiejski (5)";11;
1416052;"Małkinia Górna (2)";85;
1416062;"Nur (2)";27;
1416072;"Ostrów Mazowiecka (2)";45;
1416082;"Stary Lubotyń (2)";33;
1416092;"Szulborze Wielkie (2)";35;
1416102;"Wąsewo (2)";35;
1416112;"Zaręby Kościelne (2)";40;
1417000;"Powiat otwocki";201;
1417011;"Józefów (1)";867;
1417021;"Otwock (1)";932;
1417032;"Celestynów (2)";131;
1417043;"Karczew (3)";194;
1417044;"Karczew - miasto (4)";344;
1417045;"Karczew - obszar wiejski (5)";115;
1417052;"Kołbiel (2)";77;
1417062;"Osieck (2)";54;
1417072;"Sobienie-Jeziory (2)";64;
1417082;"Wiązowna (2)";134;
1418000;"Powiat piaseczyński";311;
1418013;"Góra Kalwaria (3)";189;
1418014;"Góra Kalwaria - miasto (4)";874;
1418015;"Góra Kalwaria - obszar wiejski (5)";117;
1418023;"Konstancin-Jeziorna (3)";312;
1418024;"Konstancin-Jeziorna - miasto (4)";942;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";128;
1418032;"Lesznowola (2)";448;
1418043;"Piaseczno (3)";680;
1418044;"Piaseczno - miasto (4)";3002;
1418045;"Piaseczno - obszar wiejski (5)";344;
1418052;"Prażmów (2)";134;
1418063;"Tarczyn (3)";103;
1418064;"Tarczyn - miasto (4)";802;
1418065;"Tarczyn - obszar wiejski (5)";69;
1419000;"Powiat płocki";61;
1419012;"Bielsk (2)";72;
1419022;"Bodzanów (2)";59;
1419032;"Brudzeń Duży (2)";51;
1419042;"Bulkowo (2)";47;
1419053;"Drobin (3)";54;
1419054;"Drobin - miasto (4)";288;
1419055;"Drobin - obszar wiejski (5)";37;
1419063;"Gąbin (3)";75;
1419064;"Gąbin - miasto (4)";145;
1419065;"Gąbin - obszar wiejski (5)";58;
1419072;"Łąck (2)";57;
1419082;"Mała Wieś (2)";54;
1419092;"Nowy Duninów (2)";27;
1419102;"Radzanowo (2)";81;
1419112;"Słubice (2)";46;
1419122;"Słupno (2)";110;
1419132;"Stara Biała (2)";109;
1419142;"Staroźreby (2)";52;
1419153;"Wyszogród (3)";57;
1419154;"Wyszogród - miasto (4)";197;
1419155;"Wyszogród - obszar wiejski (5)";35;
1420000;"Powiat płoński";62;
1420011;"Płońsk (1)";1881;
1420021;"Raciąż (1)";512;
1420032;"Baboszewo (2)";48;
1420043;"Czerwińsk nad Wisłą (3)";52;
1420044;"Czerwińsk nad Wisłą - miasto (4)";180;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";47;
1420052;"Dzierzążnia (2)";35;
1420062;"Joniec (2)";37;
1420072;"Naruszewo (2)";39;
1420082;"Nowe Miasto (2)";39;
1420092;"Płońsk (2)";63;
1420102;"Raciąż (2)";33;
1420113;"Sochocin (3)";47;
1420114;"Sochocin - miasto (4)";276;
1420115;"Sochocin - obszar wiejski (5)";33;
1420122;"Załuski (2)";52;
1421000;"Powiat pruszkowski";680;
1421011;"Piastów (1)";3871;
1421021;"Pruszków (1)";3270;
1421033;"Brwinów (3)";389;
1421034;"Brwinów - miasto (4)";934;
1421035;"Brwinów - obszar wiejski (5)";242;
1421042;"Michałowice (2)";534;
1421052;"Nadarzyn (2)";202;
1421062;"Raszyn (2)";505;
1422000;"Powiat przasnyski";42;
1422011;"Przasnysz (1)";671;
1422023;"Chorzele (3)";27;
1422024;"Chorzele - miasto (4)";174;
1422025;"Chorzele - obszar wiejski (5)";19;
1422032;"Czernice Borowe (2)";31;
1422042;"Jednorożec (2)";30;
1422052;"Krasne (2)";35;
1422062;"Krzynowłoga Mała (2)";18;
1422072;"Przasnysz (2)";39;
1423000;"Powiat przysuski";51;
1423012;"Borkowice (2)";48;
1423022;"Gielniów (2)";56;
1423032;"Klwów (2)";38;
1423042;"Odrzywół (2)";37;
1423052;"Potworów (2)";51;
1423063;"Przysucha (3)";64;
1423064;"Przysucha - miasto (4)";806;
1423065;"Przysucha - obszar wiejski (5)";34;
1423072;"Rusinów (2)";50;
1423082;"Wieniawa (2)";50;
1424000;"Powiat pułtuski";62;
1424012;"Gzy (2)";35;
1424022;"Obryte (2)";34;
1424032;"Pokrzywnica (2)";42;
1424043;"Pułtusk (3)";183;
1424044;"Pułtusk - miasto (4)";832;
1424045;"Pułtusk - obszar wiejski (5)";48;
1424052;"Świercze (2)";49;
1424062;"Winnica (2)";36;
1424072;"Zatory (2)";40;
1425000;"Powiat radomski";99;
1425011;"Pionki (1)";955;
1425022;"Gózd (2)";117;
1425033;"Iłża (3)";56;
1425034;"Iłża - miasto (4)";289;
1425035;"Iłża - obszar wiejski (5)";41;
1425042;"Jastrzębia (2)";78;
1425052;"Jedlińsk (2)";105;
1425062;"Jedlnia-Letnisko (2)";197;
1425072;"Kowala (2)";165;
1425082;"Pionki (2)";43;
1425092;"Przytyk (2)";54;
1425103;"Skaryszew (3)";87;
1425104;"Skaryszew - miasto (4)";156;
1425105;"Skaryszew - obszar wiejski (5)";74;
1425112;"Wierzbica (2)";101;
1425122;"Wolanów (2)";107;
1425132;"Zakrzew (2)";140;
1426000;"Powiat siedlecki";51;
1426012;"Domanice (2)";55;
1426022;"Korczew (2)";24;
1426032;"Kotuń (2)";56;
1426042;"Mokobody (2)";41;
1426053;"Mordy (3)";33;
1426054;"Mordy - miasto (4)";372;
1426055;"Mordy - obszar wiejski (5)";24;
1426062;"Paprotnia (2)";30;
1426072;"Przesmyki (2)";26;
1426082;"Siedlce (2)";133;
1426092;"Skórzec (2)";67;
1426102;"Suchożebry (2)";46;
1426112;"Wiśniew (2)";46;
1426122;"Wodynie (2)";38;
1426132;"Zbuczyn (2)";48;
1427000;"Powiat sierpecki";60;
1427011;"Sierpc (1)";949;
1427022;"Gozdowo (2)";46;
1427032;"Mochowo (2)";41;
1427042;"Rościszewo (2)";35;
1427052;"Sierpc (2)";46;
1427062;"Szczutowo (2)";37;
1427072;"Zawidz (2)";34;
1428000;"Powiat sochaczewski";115;
1428011;"Sochaczew (1)";1354;
1428022;"Brochów (2)";36;
1428032;"Iłów (2)";47;
1428042;"Młodzieszyn (2)";47;
1428052;"Nowa Sucha (2)";75;
1428062;"Rybno (2)";47;
1428072;"Sochaczew (2)";124;
1428082;"Teresin (2)";131;
1429000;"Powiat sokołowski";47;
1429011;"Sokołów Podlaski (1)";1072;
1429022;"Bielany (2)";32;
1429032;"Ceranów (2)";19;
1429042;"Jabłonna Lacka (2)";29;
1429053;"Kosów Lacki (3)";29;
1429054;"Kosów Lacki - miasto (4)";178;
1429055;"Kosów Lacki - obszar wiejski (5)";20;
1429062;"Repki (2)";30;
1429072;"Sabnie (2)";32;
1429082;"Sokołów Podlaski (2)";44;
1429092;"Sterdyń (2)";29;
1430000;"Powiat szydłowiecki";86;
1430012;"Chlewiska (2)";47;
1430022;"Jastrząb (2)";94;
1430032;"Mirów (2)";72;
1430042;"Orońsko (2)";72;
1430053;"Szydłowiec (3)";132;
1430054;"Szydłowiec - miasto (4)";519;
1430055;"Szydłowiec - obszar wiejski (5)";59;
1432000;"Powiat warszawski zachodni";228;
1432013;"Błonie (3)";253;
1432014;"Błonie - miasto (4)";1327;
1432015;"Błonie - obszar wiejski (5)";125;
1432022;"Izabelin (2)";163;
1432032;"Kampinos (2)";51;
1432042;"Leszno (2)";82;
1432053;"Łomianki (3)";726;
1432054;"Łomianki - miasto (4)";2035;
1432055;"Łomianki - obszar wiejski (5)";364;
1432063;"Ożarów Mazowiecki (3)";377;
1432064;"Ożarów Mazowiecki - miasto (4)";1585;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";221;
1432072;"Stare Babice (2)";314;
1433000;"Powiat węgrowski";53;
1433011;"Węgrów (1)";348;
1433022;"Grębków (2)";33;
1433032;"Korytnica (2)";33;
1433042;"Liw (2)";43;
1433053;"Łochów (3)";90;
1433054;"Łochów - miasto (4)";504;
1433055;"Łochów - obszar wiejski (5)";60;
1433062;"Miedzna (2)";32;
1433072;"Sadowne (2)";40;
1433082;"Stoczek (2)";34;
1433092;"Wierzbno (2)";26;
1434000;"Powiat wołomiński";268;
1434011;"Kobyłka (1)";1313;
1434021;"Marki (1)";1455;
1434031;"Ząbki (1)";3590;
1434041;"Zielonka (1)";220;
1434052;"Dąbrówka (2)";75;
1434062;"Jadów (2)";63;
1434072;"Klembów (2)";120;
1434082;"Poświętne (2)";60;
1434093;"Radzymin (3)";218;
1434094;"Radzymin - miasto (4)";577;
1434095;"Radzymin - obszar wiejski (5)";139;
1434102;"Strachówka (2)";25;
1434113;"Tłuszcz (3)";195;
1434114;"Tłuszcz - miasto (4)";1026;
1434115;"Tłuszcz - obszar wiejski (5)";126;
1434123;"Wołomin (3)";835;
1434124;"Wołomin - miasto (4)";2117;
1434125;"Wołomin - obszar wiejski (5)";337;
1435000;"Powiat wyszkowski";84;
1435012;"Brańszczyk (2)";49;
1435022;"Długosiodło (2)";46;
1435032;"Rząśnik (2)";42;
1435042;"Somianka (2)";47;
1435053;"Wyszków (3)";240;
1435054;"Wyszków - miasto (4)";1292;
1435055;"Wyszków - obszar wiejski (5)";89;
1435062;"Zabrodzie (2)";66;
1436000;"Powiat zwoleński";62;
1436012;"Kazanów (2)";47;
1436022;"Policzna (2)";47;
1436032;"Przyłęk (2)";45;
1436042;"Tczów (2)";67;
1436053;"Zwoleń (3)";92;
1436054;"Zwoleń - miasto (4)";475;
1436055;"Zwoleń - obszar wiejski (5)";50;
1437000;"Powiat żuromiński";47;
1437013;"Bieżuń (3)";40;
1437014;"Bieżuń - miasto (4)";150;
1437015;"Bieżuń - obszar wiejski (5)";28;
1437022;"Kuczbork-Osada (2)";38;
1437033;"Lubowidz (3)";35;
1437034;"Lubowidz - miasto (4)";306;
1437035;"Lubowidz - obszar wiejski (5)";27;
1437042;"Lutocin (2)";33;
1437052;"Siemiątkowo (2)";30;
1437063;"Żuromin (3)";106;
1437064;"Żuromin - miasto (4)";777;
1437065;"Żuromin - obszar wiejski (5)";44;
1438000;"Powiat żyrardowski";141;
1438011;"Żyrardów (1)";2727;
1438023;"Mszczonów (3)";75;
1438024;"Mszczonów - miasto (4)";726;
1438025;"Mszczonów - obszar wiejski (5)";36;
1438032;"Puszcza Mariańska (2)";60;
1438042;"Radziejowice (2)";81;
1438053;"Wiskitki (3)";65;
1438054;"Wiskitki - miasto (4)";202;
1438055;"Wiskitki - obszar wiejski (5)";59;
1461000;"Powiat m.Ostrołęka";1525;
1461011;"Ostrołęka (1)";1525;
1462000;"Powiat m.Płock";1329;
1462011;"Płock (1)";1329;
1463000;"Powiat m.Radom";1851;
1463011;"Radom (1)";1851;
1464000;"Powiat m.Siedlce";2428;
1464011;"Siedlce (1)";2428;
1465000;"Powiat m. st. Warszawa";3471;
1465011;"M.st.Warszawa od 2002 (1)";3471;
1465028;"Bemowo - dzielnica (8)";5013;
1465038;"Białołęka - dzielnica (8)";1848;
1465048;"Bielany - dzielnica (8)";4005;
1465058;"Mokotów - dzielnica (8)";6104;
1465068;"Ochota - dzielnica (8)";8587;
1465078;"Praga-Południe - dzielnica (8)";8009;
1465088;"Praga-Północ - dzielnica (8)";5549;
1465098;"Rembertów - dzielnica (8)";1269;
1465108;"Śródmieście - dzielnica (8)";7044;
1465118;"Targówek - dzielnica (8)";5096;
1465128;"Ursus - dzielnica (8)";6755;
1465138;"Ursynów - dzielnica (8)";3423;
1465148;"Wawer - dzielnica (8)";1001;
1465158;"Wesoła - dzielnica (8)";1143;
1465168;"Wilanów - dzielnica (8)";1209;
1465178;"Włochy - dzielnica (8)";1567;
1465188;"Wola - dzielnica (8)";7414;
1465198;"Żoliborz - dzielnica (8)";6482;
1600000;"OPOLSKIE";103;
1601000;"Powiat brzeski";101;
1601011;"Brzeg (1)";2380;
1601022;"Skarbimierz (2)";76;
1601033;"Grodków (3)";66;
1601034;"Grodków - miasto (4)";848;
1601035;"Grodków - obszar wiejski (5)";38;
1601043;"Lewin Brzeski (3)";80;
1601044;"Lewin Brzeski - miasto (4)";485;
1601045;"Lewin Brzeski - obszar wiejski (5)";48;
1601052;"Lubsza (2)";42;
1601062;"Olszanka (2)";53;
1602000;"Powiat głubczycki";66;
1602013;"Baborów (3)";50;
1602014;"Baborów - miasto (4)";240;
1602015;"Baborów - obszar wiejski (5)";29;
1602022;"Branice (2)";52;
1602033;"Głubczyce (3)";74;
1602034;"Głubczyce - miasto (4)";979;
1602035;"Głubczyce - obszar wiejski (5)";34;
1602043;"Kietrz (3)";76;
1602044;"Kietrz - miasto (4)";310;
1602045;"Kietrz - obszar wiejski (5)";40;
1603000;"Powiat kędzierzyńsko-kozielski";147;
1603011;"Kędzierzyn-Koźle (1)";476;
1603022;"Bierawa (2)";66;
1603032;"Cisek (2)";77;
1603042;"Pawłowiczki (2)";47;
1603052;"Polska Cerekiew (2)";65;
1603062;"Reńska Wieś (2)";84;
